epoch,loss,val_loss
0,7.807486400604248,5.383896203458211
0,7.9623637294769285,5.963367912010943
0,8.200000782012939,5.68315584494859
1,4.304019939899445,4.134181224689875
0,3.7990313243865965,3.7119470046843257
0,8.28304033756256,5.750687910289985
1,4.287114956378937,4.127260975949018
0,4.09412655878067,3.320738619156981
1,3.2317390089035034,3.1008913017224375
2,3.0152059791088104,2.90377339555587
3,2.8170525760650635,2.983107966540192
4,2.725381576061249,2.6517688744587034
5,2.616304524898529,2.607960065618154
6,2.5460611605644226,2.593809201227722
7,2.517532005906105,2.9471065285801186
8,2.47088860809803,2.5639889471318975
9,2.4405855675935744,2.7289294929499897
10,2.4037353672981263,2.53047575593079
11,2.411933449268341,2.4761338654173852
12,2.354333408117294,2.503615458431572
13,2.342987249612808,2.6495798079929833
14,2.351110320329666,2.5023780406238165
15,2.3439921283721925,2.42372709491629
16,2.3048585880994796,2.482587729105267
17,2.321068932890892,2.4398492463943224
18,2.2893861854076385,2.5341115902685045
19,2.287825258016586,2.5197507730212814
0,2.314994810938835,2.556511211327803
1,2.3142540984153745,2.431268483674405
2,2.289405287861824,2.5014942380454963
3,2.2861144633293153,2.3970398777809043
4,2.292855847001076,2.4501215035947417
5,2.2675379239320756,2.387683931259411
6,2.2710706396102904,2.555056089417211
7,2.257589339494705,2.513155070713909
